year,rcpt,std
2005,GNB,1002238.0
2005,GNQ,2207630.0
2005,GRD,5754.29
2005,GTM,6201762.72
2005,GUY,12295240.999999996
2005,HND,13844209.970000003
2005,HRV,1985270.0
2005,HTI,36417436.60000001
2005,IDN,48685138.1
2005,IND,80113608.50700001
2005,IRN,1782524.4000000001
2005,IRQ,0.0
2005,JAM,5284592.800000001
2005,JOR,790910.0
2005,KAZ,4779747.0
2005,KEN,87961478.17999998
2005,KGZ,5559373.490000001
2005,KHM,41396434.7
2005,KIR,178245.38
2005,KNA,0.0
2005,LAO,4171182.7
2005,LBN,75000.0
2005,LBR,4723268.500000001
2005,LCA,104280.0
2005,LKA,892724.62
2005,LSO,8328763.939999999
2005,MAR,3905613.500000001
2005,MDA,5683110.0
2005,MDG,6235516.329999999
2005,MDV,0.0
2005,MEX,1784000.0
2005,MHL,178245.38
2005,MKD,1037677.2000000001
2005,MLI,14292019.000000002
2005,MMR,21373881.200000003
2005,MNG,692749.9400000001
2005,MOZ,70892207.8357
2005,MRT,905766.37
2005,MUS,28201.5
2005,MWI,61997582.379999995
2005,MYS,155484.5
2005,NAM,29034352.060000002
2005,NER,5331447.319999999
2005,NGA,110975082.99100003
2005,NIC,2936360.110000001
2005,NIU,134826.38
2005,NPL,15594080.870000001
2005,NRU,178245.38
2005,OMN,74970.0
2005,PAK,8082033.500000002
2005,PAN,485872.669
2005,PER,7154028.839999998
2005,PHL,3096888.6
2005,PLW,134826.38
2005,PNG,13825679.38
2005,PRK,0.0
2005,PRY,82130.83
2005,PSE,0.0
2005,RWA,55992873.71999999
2005,SDN,11032848.700000001
2005,SEN,13502203.247000003
2005,SLB,178245.38
2005,SLE,6411076.8
2005,SLV,9572588.870000001
2005,SOM,6000586.0
2005,SRB,1769034.2
2005,STP,138699.9
2005,SUR,1177910.0
2005,SWZ,22689094.000000004
2005,SYC,0.0
2005,SYR,161571.0
2005,TCD,9309073.42
2005,TGO,6595806.0
2005,THA,15486605.519999998
2005,TJK,2813387.3000000003
2005,TKL,173675.0
2005,TKM,206708.4
2005,TLS,157139.28999999998
2005,TON,178245.38
2005,TTO,545578.93
2005,TUN,0.0
2005,TUR,216390.0
2005,TUV,178245.38
2005,TZA,125489729.88999997
2005,UGA,117404623.54
2005,UKR,22844785.66
2005,URY,91896.0
2005,UZB,2303402.7600000002
2005,VCT,90630.17
2005,VEN,389067.32
2005,VNM,27176540.179999996
2005,VUT,178245.38
2005,WSM,253245.38000000003
2005,YEM,2873674.9000000004
2005,ZAF,131870708.54200016
2005,ZMB,126583135.99999996
2005,ZWE,63929740.96999999
2006,AFG,372658.17
2006,AGO,26427462.66000001
2006,ALB,1675297.8599999999
2006,ARG,2384735.14
2006,ARM,2749368.0800000005
2006,ATG,1759.24
2006,AZE,5295379.879999998
2006,BDI,18146150.160000004
2006,BEN,14269495.16
2006,BFA,22238173.383
2006,BGD,8821537.790000003
2006,BIH,2181731.09
2006,BLR,3313901.335
2006,BLZ,476171.10000000003
2006,BOL,5231449.45
2006,BRA,31380885.74
2006,BRB,1630864.06
2006,BTN,295517.35000000003
2006,BWA,25157952.889999997
2006,CAF,10224467.969999999
2006,CHL,2277810.87
2006,CHN,56378290.952068985
2006,CIV,28972982.199999996
2006,CMR,16354773.25
2006,COD,32060308.889999993
2006,COG,8021375.12
2006,COL,5595446.800000001
2006,COM,263033.5
2006,CPV,854370.363
2006,CRI,718963.5800000001
2006,CUB,4201597.229999999
2006,DJI,4117996.4
2006,DMA,149072.52
2006,DOM,14323321.52
2006,DZA,2214391.2399999993
2006,ECU,5592436.06
2006,EGY,1151448.4800000002
2006,ERI,8804201.424999999
2006,ETH,150867229.557
2006,FJI,343456.73
2006,GAB,2208989.25
2006,GEO,2825772.5000000005
2006,GHA,39125800.74
2006,GIN,8655824.01
2006,GMB,3344222.3850000002
2006,GNB,1443255.84
2006,GNQ,1329753.2000000002
2006,GRD,83231.74
2006,GTM,6251274.819999998
2006,GUY,21310407.0
2006,HND,11008259.569999998
2006,HRV,1661220.0
2006,HTI,71565068.31000005
2006,IDN,55079567.11999999
2006,IND,106240959.05
2006,IRN,2444416.5300000003
2006,IRQ,7099.4
2006,JAM,8277578.9799999995
2006,JOR,164955.88999999998
2006,KAZ,8180186.660000004
2006,KEN,158611603.15000007
2006,KGZ,3776762.840000001
2006,KHM,42456088.010000005
2006,KNA,17599.5999999999
2006,LAO,3118272.8700000006
2006,LBN,5721.1599999999
2006,LBR,4230441.91
2006,LBY,476547.06
2006,LCA,516149.3600000001
2006,LKA,646532.75
2006,LSO,10138858.06
2006,MAR,2824821.6700000004
2006,MDA,4543568.930000001
2006,MDG,11672681.399999999
2006,MDV,5337.3399999999
2006,MEX,1742105.6800000002
2006,MKD,2893452.88
2006,MLI,18335460.290000003
2006,MMR,6052170.987000001
2006,MNE,659370.0
2006,MNG,1302831.25
